,attention -> next-week abnormal volume,attention -> next-week return,attention (reversal-controlled) -> return,momentum (last-week return) -> return,GNN forecast -> same-week abnormal volume,GNN forecast -> same-week return
2022-03-18,0.022077922077922082,-0.2155844155844156,-0.2155844155844156,-0.34131274131274136,,
2022-03-25,-0.3051948051948052,0.32727272727272727,0.2701298701298701,-0.2731016731016731,,
2022-04-01,0.12987012987012986,-0.0038961038961038965,-0.01818181818181818,0.19562419562419564,,
2022-04-08,-0.2038961038961039,0.016883116883116882,0.016883116883116882,-0.1758043758043758,,
2022-04-15,0.006493506493506493,0.2636363636363636,0.15194805194805194,-0.2102960102960103,,
2022-04-22,0.4688311688311688,-0.24935064935064938,-0.32597402597402597,0.12664092664092666,,
2022-04-29,-0.32597402597402597,0.11168831168831168,0.12207792207792208,0.13462033462033463,,
2022-05-06,0.42207792207792205,-0.022077922077922082,-0.01948051948051948,0.08906048906048908,,
2022-05-13,-0.2194805194805195,0.32727272727272727,0.33766233766233766,0.0712998712998713,,
2022-05-20,0.4116883116883117,0.3051948051948052,0.3233766233766234,-0.04581724581724582,,
2022-05-27,-0.033766233766233764,0.28181818181818186,0.29740259740259745,-0.012612612612612614,,
2022-06-03,-0.062337662337662345,0.31428571428571433,0.062337662337662345,0.1335907335907336,0.03333333333333333,0.19999999999999998
2022-06-10,0.6688311688311688,0.06103896103896104,0.10519480519480517,0.1722007722007722,-0.19999999999999998,0.3666666666666667
2022-06-17,-0.15714285714285717,-0.14675324675324675,-0.0974025974025974,-0.1770913770913771,0.35,-0.25
2022-06-24,0.3246753246753247,0.14805194805194805,0.0987012987012987,-0.3287001287001287,0.33333333333333337,-0.3666666666666667
2022-07-01,-0.20129870129870128,-0.3987012987012987,-0.2961038961038961,-0.3675675675675676,0.25,-0.2833333333333333
2022-07-08,0.17012987012987013,0.04805194805194805,-0.08051948051948052,-0.432947232947233,-0.5833333333333334,-0.33333333333333337
2022-07-15,0.13770913770913773,-0.08622908622908623,-0.11763191763191765,0.10553410553410554,0.35,0.4666666666666666
2022-07-22,0.2146718146718147,0.02496782496782497,-0.015701415701415703,0.2707850707850708,0.09999999999999999,0.65
2022-07-29,-0.14362934362934363,0.15469755469755472,0.17734877734877738,-0.054311454311454316,0.09999999999999999,-0.31666666666666665
2022-08-05,0.2175032175032175,-0.25585585585585585,-0.23474903474903477,-0.06177606177606178,-0.6,-0.7166666666666667
2022-08-12,-0.007722007722007722,-0.03835263835263836,-0.03886743886743887,-0.047361647361647365,-0.016666666666666666,0.48333333333333334
2022-08-19,-0.18764478764478768,-0.02908622908622909,-0.028056628056628057,0.26203346203346206,-0.33333333333333337,0.31666666666666665
2022-08-26,0.1655083655083655,0.24298584298584303,0.24298584298584303,-0.11454311454311455,-0.16666666666666669,0.0
2022-09-02,0.011840411840411841,0.012612612612612614,0.00797940797940798,-0.19897039897039898,0.06666666666666667,0.33333333333333337
2022-09-09,0.04581724581724582,0.004118404118404119,-0.014671814671814673,-0.15727155727155726,-0.2333333333333333,0.25
2022-09-16,-0.048391248391248386,-0.06048906048906049,-0.12329472329472331,-0.03500643500643501,0.35,-0.2333333333333333
