a,b,distance,peak_corr,theme
Micron,Vistra,4,0.07227743335027202,ai-buildout
Micron,GE Vernova,4,0.0760175439196735,ai-buildout
Micron,Electrical grid,4,0.06327509435761987,ai-buildout
Micron,Transformer (device),5,0.11910777813208252,ai-buildout
Micron,Quanta Services,5,0.08723175398313224,ai-buildout
Micron,Eaton,5,0.0936804199504304,ai-buildout
Micron,Copper,5,0.042153620699092655,ai-buildout
Micron,Uranium,5,0.021202968818320397,ai-buildout
Micron,Tesla,4,0.20109562444771403,ai-buildout
Samsung,HBM,1,0.043708270717679805,ai-buildout
Samsung,Data center,3,0.08847111226102176,ai-buildout
Samsung,Azure,4,0.06040485624363731,ai-buildout
Samsung,AWS,4,0.09428433448341714,ai-buildout
Samsung,Google Cloud,4,0.05381479783946476,ai-buildout
Samsung,CoreWeave,4,0.1298948604274203,ai-buildout
Samsung,Oracle,4,0.11026684252939419,ai-buildout
Samsung,Vertiv,4,0.06137664569661312,ai-buildout
Samsung,Nuclear power,4,0.10772280815821557,ai-buildout
Samsung,SMR,5,0.08076100001842834,ai-buildout
Samsung,Natural gas,4,0.10988948144252243,ai-buildout
Samsung,Constellation,4,0.11616813608626214,ai-buildout
Samsung,NextEra,4,0.06977594096873894,ai-buildout
Samsung,Vistra,4,0.09624284136521936,ai-buildout
Samsung,GE Vernova,4,0.08269027748943389,ai-buildout
Samsung,Electrical grid,4,0.07290737549075246,ai-buildout
Samsung,Transformer (device),5,0.17537489694910416,ai-buildout
Samsung,Quanta Services,5,0.12115700565565632,ai-buildout
Samsung,Eaton,5,0.10867928913212539,ai-buildout
Samsung,Copper,5,0.1666483930763223,ai-buildout
Samsung,Uranium,5,0.08286061745015341,ai-buildout
Samsung,Tesla,4,0.14505879140602632,ai-buildout
HBM,Data center,2,0.19233937770800827,ai-buildout
HBM,Azure,3,0.06683099248780174,ai-buildout
HBM,AWS,3,0.0815455770362692,ai-buildout
HBM,Google Cloud,3,0.07289341758481337,ai-buildout
HBM,CoreWeave,3,0.0682050456680919,ai-buildout
HBM,Oracle,3,0.0812560576839667,ai-buildout
HBM,Vertiv,3,0.10616677232259965,ai-buildout
HBM,Nuclear power,3,0.06073460974419376,ai-buildout
HBM,SMR,4,0.01003355478961818,ai-buildout
HBM,Natural gas,3,0.029234240573023648,ai-buildout
HBM,Constellation,3,0.0367448067033641,ai-buildout
HBM,NextEra,3,0.07403514862955375,ai-buildout
HBM,Vistra,3,0.10328736087375534,ai-buildout
HBM,GE Vernova,3,0.10651266230101462,ai-buildout
HBM,Electrical grid,3,0.029653801393352,ai-buildout
HBM,Transformer (device),4,0.07910736899730361,ai-buildout
HBM,Quanta Services,4,0.03310269080695578,ai-buildout
HBM,Eaton,4,0.08777685929042346,ai-buildout
HBM,Copper,4,0.026079157697796018,ai-buildout
HBM,Uranium,4,0.03545892161046987,ai-buildout
HBM,Tesla,3,0.14693678086794765,ai-buildout
Data center,Azure,3,0.05714126424055836,ai-buildout
Data center,AWS,1,0.10551594904112807,ai-buildout
Data center,Google Cloud,1,0.07517209661553206,ai-buildout
Data center,CoreWeave,1,-0.004363834177908016,ai-buildout
Data center,Oracle,1,0.07764894740814422,ai-buildout
Data center,Vertiv,1,0.13472775102271367,ai-buildout
Data center,Nuclear power,1,0.04737610274227035,ai-buildout
Data center,SMR,2,0.07640314959971374,ai-buildout
Data center,Natural gas,1,0.05727859833467192,ai-buildout
Data center,Constellation,1,0.08776750027152797,ai-buildout
Data center,NextEra,1,0.16651877763730216,ai-buildout
Data center,Vistra,1,0.1302150555625572,ai-buildout
Data center,GE Vernova,1,0.0595131075062467,ai-buildout
Data center,Electrical grid,1,0.11764281484808627,ai-buildout
Data center,Transformer (device),2,0.0940020036182635,ai-buildout
Data center,Quanta Services,2,0.0806421006398679,ai-buildout
Data center,Eaton,2,0.10108266947570883,ai-buildout
Data center,Copper,2,0.09392313086383715,ai-buildout
Data center,Uranium,2,0.13134609448125806,ai-buildout
Data center,Tesla,3,0.03300683297478936,ai-buildout
Azure,AWS,4,0.3028886483724711,ai-buildout
Azure,Google Cloud,4,0.2646747699105734,ai-buildout
Azure,CoreWeave,4,0.05201724400746459,ai-buildout
Azure,Oracle,4,0.07861802779680062,ai-buildout
Azure,Vertiv,4,0.1199885437520963,ai-buildout
Azure,Nuclear power,4,0.1370319818183654,ai-buildout
Azure,SMR,5,0.06930002685795615,ai-buildout
Azure,Natural gas,4,0.10226028760234968,ai-buildout
Azure,Constellation,4,0.04338686800755525,ai-buildout
Azure,NextEra,4,0.08780926519286462,ai-buildout
Azure,Vistra,4,0.07249573561042631,ai-buildout
Azure,GE Vernova,4,0.017961789441564884,ai-buildout
Azure,Electrical grid,4,0.12498450732095108,ai-buildout
Azure,Transformer (device),5,0.0999440005742529,ai-buildout
Azure,Quanta Services,5,0.08098613629892079,ai-buildout
Azure,Eaton,5,0.05146478876916565,ai-buildout
